title,brand,rating,reviews,price,image_url,product_url,sponsored
"CozyHug Weighted Plushie – Your Warm, Comforting Buddy for Stress-Free Days & Restful Nights! (Purple)",CozyHug,0.0,1799,1799,https://m.media-amazon.com/images/I/51jj6TkyJhL._AC_UL320_.jpg,,True
"Enchanted Threads Handmade Crochet Dog Plush Toy | Soft Amigurumi Puppy Stuffed Animal with Red Collar – Cute Yarn Doll for Kids & Baby Gifts – Eco-Friendly, Safe, and Washable – Cream White - 1Pc",Enchanted Threads,0.0,1200,1200,https://m.media-amazon.com/images/I/61tmfnAxXAL._AC_UL320_.jpg,,True
LOVEY DOVEY Cute Polar Bear Stuffed Soft Toy for Kids (White-Poller.Bear-25 cm) - Super Soft and Cuddly Plush Toy for Hugging and Snuggling,LOVEY DOVEY,3.0,111,286,https://m.media-amazon.com/images/I/41-B5ZTBVTL._AC_UL320_.jpg,,True
"ADORA Baby Plushies - 25 cm Blue Lovable Huggable Soft Toy, Small Size Plush Teddy Bear, Elegant Soft Plush Toy for Babies, Great Birthday Gift for Girls",ADORA,4.6,110,526,https://m.media-amazon.com/images/I/612-NnCMoQL._AC_UL320_.jpg,,True
Madhubala Teddy Bear 3 Feet Giant Stuffed Plush Toys Baby Pink Teddy Bears 3 Feet Pink,Madhubala,2.0,1,395,https://m.media-amazon.com/images/I/61k--qGrKeL._AC_UL320_.jpg,,True
"CozyHug Weighted Plushie – Your Warm, Comforting Buddy for Stress-Free Days & Restful Nights! (Sea Green)",CozyHug,0.0,1799,1799,https://m.media-amazon.com/images/I/41qYfSzsiTL._AC_UL320_.jpg,,True
"Storescent Cute Panda Plush with Bamboo, Kawaii Soft Panda in Bamboo Stuffed Animals Toy, Plushies Doll Gifts for Kids Girls Boys Birthday Valentine (Panda in Bamboo)",Storescent,4.1,1740,397,https://m.media-amazon.com/images/I/510y3YBXpdL._AC_UL320_.jpg,,True
LOVEY DOVEY Cute Polar Bear Stuffed Soft Toy for Kids (White-Poller.Bear-25 cm) - Super Soft and Cuddly Plush Toy for Hugging and Snuggling,LOVEY DOVEY,3.0,111,286,https://m.media-amazon.com/images/I/41-B5ZTBVTL._AC_UL320_.jpg,,True
Madhubala Teddy Bear 3 Feet Giant Stuffed Plush Toys Baby Pink Teddy Bears 3 Feet Pink,Madhubala,2.0,1,395,https://m.media-amazon.com/images/I/61k--qGrKeL._AC_UL320_.jpg,,True
HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Toy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 4 FEET Cream Plush & Stuffed Toys,HUG 'n' FEEL SOFT TOYS,3.7,3,939,https://m.media-amazon.com/images/I/710jBD4M2ML._AC_UL320_.jpg,,True
Tickles Sitting Dalmatian Dog Soft Animal Stuffed for Kids (Size: 25 cm Color: Black and White),Tickles,3.8,101,428,https://m.media-amazon.com/images/I/41yjZ0oleFS._AC_UL320_.jpg,,True
"Amazon Brand - Jam & Honey Dinosaur, Cute, Plush/Soft Toy, Suitable for Boys, Girls and Kids, Super-Soft, Safe, 34 cm (Green & Yellow)",Amazon Brand,4.4,13833,225,https://m.media-amazon.com/images/I/81c5rU7uWgL._AC_UL320_.jpg,,True
"HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable hugable Cute Giant Life Size Toy Figure Bear Plush & Stuffed Toys (ELEPAHNT with Monkey, Grey) Lovely Toy Figure",HUG 'n' FEEL SOFT TOYS,4.2,93,549,https://m.media-amazon.com/images/I/711x4LO3lsL._AC_UL320_.jpg,,True
"HOMECUTE Large Soft Toys Elephant, Big Size Fibre Filled Stuffed Animal for Baby Girls & Boys, Soft Pillow for Toddlers, Birthday Gift for Kids, Soft Toys for New Born Baby (Gray)",HOMECUTE,0.0,599,599,https://m.media-amazon.com/images/I/71GLvPCtyML._AC_UL320_.jpg,,True
BABY FOREST Cuddly Buddies King Lio Soft Toy | Animal Soft Toy | Handmade with Natural Materials | Delightful Plush Toy | Eco-Friendly | Safe for Babies,BABY FOREST,0.0,1515,1515,https://m.media-amazon.com/images/I/81e+4jaw0mL._AC_UL320_.jpg,,True
"Primo Cleats Cute Grey Batman Plush Toy for Kids, 55 cm, Black and Grey, Soft Cape, Collectible Superhero Stuffed Toy, Eco-Friendly Materials and Machine Washable(Pack of 1)",Primo Cleats,5.0,1,587,https://m.media-amazon.com/images/I/41X8coXRYcL._AC_UL320_.jpg,,True
"SHAPZE Rudy Furry Hippo Teddy Bear, Plush/Soft, Huggable, Cozy, Joyful, Toy for Boys, Girls and Kids, Super-Soft, Safe, Great Birthday Gift (Pink)",SHAPZE,4.4,6,629,https://m.media-amazon.com/images/I/51b5lNHjiSL._AC_UL320_.jpg,,True
"HUG 'n' FEEL SOFT TOYS Loveable HUGABLE Soft Giant Life Size, Long Huge Teddy BearPlush & Stuffed Toys (Best for Someone Special) White 3 Feet 90 cm with Free Heart Shape CUSION",HUG 'n' FEEL SOFT TOYS,0.0,50,769,https://m.media-amazon.com/images/I/619XTU1OKjL._AC_UL320_.jpg,,True
"VIH-AAN Plush Teddy Bear with Red Scarf, Soft Stuffed Animal Teddy Bear for Size 60 CM Blue",VIH-AAN,0.0,499,499,https://m.media-amazon.com/images/I/31Co-RzODGL._AC_UL320_.jpg,,True
Babique Reversible plushie Cat Stuffed Soft Toy Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (Blue 15cm),Babique,3.7,259,159,https://m.media-amazon.com/images/I/71eS3uYJIPL._AC_UL320_.jpg,,True
"CozyHug Weighted Plushie – Your Warm, Comforting Buddy for Stress-Free Days & Restful Nights! (Pink)",CozyHug,0.0,1799,1799,https://m.media-amazon.com/images/I/41U0LFcMs3L._AC_UL320_.jpg,,True
"LOVEY DOVEY Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Bear (4 feet Monkey, Dark Brown)",LOVEY DOVEY,0.0,1263,1263,https://m.media-amazon.com/images/I/61wptafwn4L._AC_UL320_.jpg,,True
